"Reference","Package","Datasheet","Qty","Value","MPN","MPN_alt","LCSC Part #"
"Q78","TSSOP-20","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_RENESAS-9DBL411BGLFT_C2649348.pdf","1","9DBL411BGLFT","9DBL411BGLFT","","C2649348"
"R1,R11,R47","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-071KL_C106235.pdf","3","1K/1%","RC0402FR-071KL","","C106235"
"R2,R49,R58,R63,R95,R482","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-0710KL_C60490.pdf","6","10K/1%","RC0402FR-0710KL","","C60490"
"R3,R5,R15,R18,R19,R52,R53,R102,R112,R122,R132,R142,R152","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-072K2L_C114762.pdf","13","2.2K/1%","RC0402FR-072K2L","","C114762"
"R4","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-071ML_C138033.pdf","1","1M/1%","RC0402FR-071ML","","C138033"
"R6,R54,R67,R68,R70","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-0721K5L_C185442.pdf","5","21.5K/1%","RC0402FR-0721K5L","","C185442"
"R7,R8,R9,R10,R13,R14,R16,R17","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-07470RL_C114877.pdf","8","470R/1%","RC0402FR-07470RL","","C114877"
"R46,R48,R55,R69,R71","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-07100RL_C106232.pdf","5","100R/1%","RC0402FR-07100RL","","C106232"
"R51,R59,R76,R77,R78,R79,R96,R97,R98,R99,R401,R411,R421,R431,R441,R451,R461","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-07100KL_C60491.pdf","17","100K/1%","RC0402FR-07100KL","","C60491"
"R57,R481","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-0775KL_C137935.pdf","2","75K/1%","RC0402FR-0775KL","","C137935"
"R60,R402,R412,R422,R432,R442,R452,R462","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-0722KL_C82868.pdf","8","22K/1%","RC0402FR-0722KL","","C82868"
"R72,R74","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-074K7L_C105871.pdf","2","4.7K/1%","RC0402FR-074K7L","","C105871"
"R80","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-07120KL_C93945.pdf","1","120K/1%","RC0402FR-07120KL","","C93945"
"R81","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TyoHM-RMC-0402-0R-N_C325377.pdf","1","0R","RMC 0402 0R N","","C325377"
"R82,R83,R84,R85,R86","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-0715RL_C138052.pdf","5","15R/1%","RC0402FR-0715RL","","C138052"
"R87,R88,R89,R90,R91,R92,R93,R94","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-RC0402FR-071KL_C106235.pdf","8","33R/5%","RC0402JR-0733RP","","C851857"
"SW1,SW2","SMD ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Korean-Hroparts-Elec-K2-1102SP-E3SC-04_C2685894.pdf","2","SW_Push","DTSM-62K-V-T/R","DTSMG-66K-V","C224978"
"TH1","0603","https://www.mouser.de/datasheet/2/281/NCU18XH103F60RB-1519762.pdf","1","NTC-10K","NCU18XH103F60RB ","","C440252"
"U1,U2","DFN2510","https://www.diodes.com/assets/Datasheets/D3V3XA4B10LP.pdf","2","TPAZ1023-04F","TPAZ1023-04F","","C2827676"
"U3,U4","DFN2510","https://www.diodes.com/assets/Datasheets/D3V3XA4B10LP.pdf","2","ULC0524P","ULC0524P","","C2835428"
"U15,U16,U400,U410,U420,U430,U440,U450,U460,U480","SOT-23-6","https://atta.szlcsc.com/upload/public/pdf/source/20180625/C93736_E75EC6FD4320D65590D2D5BF0D8B8959.pdf","10","SY8253ADC","SY8253ADC","","C93736"
"U78","SOT-223","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1","AMS1117-3.3","AMS1117-3.3","","C347222"
"U79","SOIC-8-208mil","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811142111_Winbond-Elec-W25Q128JVSIQ_C97521.pdf","1","W25Q128JVSIQ","W25Q128JVSIQ","","C97521"
